year,month,airline_name,airport_code,airport_name,total_arrival_flights,delayed_arrivals_15_plus,estimated_delayed_arrivals_due_to_airline,estimated_delayed_arrivals_due_to_weather,estimated_delayed_arrivals_due_to_nas,estimated_delayed_arrivals_due_to_security,estimated_delayed_arrivals_due_to_late_aircraft,cancelled_arrivals,diverted_arrivals,total_arrival_delay_minutes,airline_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,internal_ops_count,system_ops_count,external_ops_count,internal_ops_count_rounded,system_ops_count_rounded,external_ops_count_rounded,internal_ops_delay_minutes,system_ops_delay_minutes,external_ops_delay_minutes,delay_rate,cancellation_rate,diversion_rate,avg_delay_minutes_per_delayed_flight,avg_internal_minutes_per_event,avg_system_minutes_per_event,avg_external_minutes_per_event,disruption_impact_minutes,period_label,operational_state
2020,5,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),188,11,9.85,0.0,1.15,0.0,0.0,0,1,614,580,0,34,0,0,9.85,1.15,0.0,10,1,0,580,34,0,0.05851063829787234,0.0,0.005319148936170213,55.81818181818182,58.88324873096447,29.56521739130435,0.0,854.0,2020-05,normal
2020,5,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),110,4,3.0,0.0,0.0,0.0,1.0,11,0,315,293,0,0,0,22,4.0,0.0,0.0,4,0,0,315,0,0,0.03636363636363636,0.1,0.0,78.75,78.75,0.0,0.0,2295.0,2020-05,normal
2020,5,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),502,30,12.33,3.0,10.3,0.0,4.37,62,0,1975,1402,159,298,0,116,16.7,10.3,3.0,17,10,3,1518,298,159,0.05976095617529881,0.12350597609561753,0.0,65.83333333333333,90.89820359281437,28.932038834951456,53.0,13135.0,2020-05,normal
2020,5,Republic Airline,JFK,John F. Kennedy International Airport (JFK),35,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05,normal
2020,6,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),76,4,4.0,0.0,0.0,0.0,0.0,0,0,241,241,0,0,0,0,4.0,0.0,0.0,4,0,0,241,0,0,0.05263157894736842,0.0,0.0,60.25,60.25,0.0,0.0,241.0,2020-06,normal
2020,6,American Airlines,JFK,John F. Kennedy International Airport (JFK),279,21,11.42,1.76,5.82,1.0,1.0,0,0,742,479,89,135,18,21,12.42,5.82,2.76,12,6,3,500,135,107,0.07526881720430108,0.0,0.0,35.333333333333336,40.25764895330113,23.195876288659793,38.76811594202899,742.0,2020-06,normal
2020,6,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),498,15,9.99,0.0,3.01,0.0,2.0,1,0,1204,1034,0,49,0,121,11.99,3.01,0.0,12,3,0,1155,49,0,0.030120481927710843,0.002008032128514056,0.0,80.26666666666667,96.3302752293578,16.27906976744186,0.0,1384.0,2020-06,normal
2020,6,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),112,0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.08035714285714286,0.0,0.0,0.0,0.0,0.0,1620.0,2020-06,normal
2020,6,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),921,63,30.42,1.0,16.34,0.08,15.16,14,0,3873,2109,48,873,8,835,45.58,16.34,1.08,46,16,1,2944,873,56,0.06840390879478828,0.01520086862106406,0.0,61.476190476190474,64.58973233874507,53.42717258261934,51.85185185185185,6393.0,2020-06,normal
2020,6,Republic Airline,JFK,John F. Kennedy International Airport (JFK),1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06,normal
2020,7,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),61,1,0.0,0.0,1.0,0.0,0.0,1,0,18,0,0,18,0,0,0.0,1.0,0.0,0,1,0,0,18,0,0.01639344262295082,0.01639344262295082,0.0,18.0,0.0,18.0,0.0,198.0,2020-07,normal
2020,7,American Airlines,JFK,John F. Kennedy International Airport (JFK),516,38,14.37,2.77,17.03,0.0,3.83,10,2,2466,1346,444,495,0,181,18.2,17.03,2.77,18,17,3,1527,495,444,0.07364341085271318,0.01937984496124031,0.003875968992248062,64.89473684210526,83.9010989010989,29.06635349383441,160.28880866425993,4746.0,2020-07,normal
2020,7,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),971,77,32.56,4.1,30.06,0.41,9.87,45,0,4886,2924,156,1061,60,685,42.43,30.06,4.51,42,30,5,3609,1061,216,0.07929969104016478,0.046343975283213185,0.0,63.45454545454545,85.05774216356352,35.2960745176314,47.89356984478936,12986.0,2020-07,normal
2020,7,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07,normal
2020,7,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1702,187,66.3,11.22,36.6,0.06,72.81,66,4,12973,5898,621,1492,2,4960,139.11,36.6,11.280000000000001,139,37,11,10858,1492,623,0.10987074030552292,0.038777908343125736,0.0023501762632197414,69.37433155080214,78.05333908417798,40.76502732240437,55.230496453900706,25813.0,2020-07,normal
2020,7,Republic Airline,JFK,John F. Kennedy International Airport (JFK),90,2,1.73,0.0,0.27,0.0,0.0,0,0,66,57,0,9,0,0,1.73,0.27,0.0,2,0,0,57,9,0,0.022222222222222223,0.0,0.0,33.0,32.947976878612714,33.33333333333333,0.0,66.0,2020-07,normal
2020,8,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),110,8,4.45,0.0,3.55,0.0,0.0,2,0,186,106,0,80,0,0,4.45,3.55,0.0,4,4,0,106,80,0,0.07272727272727272,0.01818181818181818,0.0,23.25,23.820224719101123,22.535211267605636,0.0,546.0,2020-08,normal
2020,8,American Airlines,JFK,John F. Kennedy International Airport (JFK),412,29,12.18,3.52,9.0,1.0,3.31,4,3,1482,861,104,300,28,189,15.49,9.0,4.52,15,9,5,1050,300,132,0.0703883495145631,0.009708737864077669,0.007281553398058253,51.10344827586207,67.78566817301484,33.333333333333336,29.203539823008853,2922.0,2020-08,normal
2020,8,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1380,128,45.66,9.05,53.36,2.0,17.93,19,5,8690,4063,902,2237,41,1447,63.589999999999996,53.36,11.05,64,53,11,5510,2237,943,0.0927536231884058,0.013768115942028985,0.0036231884057971015,67.890625,86.64884415788646,41.92278860569715,85.3393665158371,13310.0,2020-08,normal
2020,8,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),247,14,5.59,0.0,3.3,0.0,5.11,7,0,917,495,0,108,0,314,10.7,3.3,0.0,11,3,0,809,108,0,0.05668016194331984,0.02834008097165992,0.0,65.5,75.60747663551402,32.72727272727273,0.0,2177.0,2020-08,normal
2020,8,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1199,103,32.36,7.99,27.53,0.53,34.58,45,11,6140,2040,566,927,8,2599,66.94,27.53,8.52,67,28,9,4639,927,574,0.08590492076730609,0.03753127606338615,0.009174311926605505,59.61165048543689,69.30086644756499,33.67235742826008,67.37089201877934,16880.0,2020-08,normal
2020,8,Republic Airline,JFK,John F. Kennedy International Airport (JFK),92,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,180.0,2020-08,normal
2020,9,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),82,5,3.62,0.0,1.38,0.0,0.0,0,0,220,187,0,33,0,0,3.62,1.38,0.0,4,1,0,187,33,0,0.06097560975609756,0.0,0.0,44.0,51.65745856353591,23.91304347826087,0.0,220.0,2020-09,normal
2020,9,American Airlines,JFK,John F. Kennedy International Airport (JFK),396,22,12.33,1.0,5.66,0.75,2.26,0,0,1201,760,88,207,12,134,14.59,5.66,1.75,15,6,2,894,207,100,0.05555555555555555,0.0,0.0,54.59090909090909,61.2748457847841,36.57243816254417,57.142857142857146,1201.0,2020-09,normal
2020,9,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1096,34,16.94,1.42,6.27,1.0,8.37,1,0,1778,971,56,144,28,579,25.310000000000002,6.27,2.42,25,6,2,1550,144,84,0.03102189781021898,0.0009124087591240876,0.0,52.294117647058826,61.24061635717107,22.966507177033495,34.710743801652896,1958.0,2020-09,normal
2020,9,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),254,6,3.44,0.0,0.0,0.0,2.56,0,0,513,400,0,0,0,113,6.0,0.0,0.0,6,0,0,513,0,0,0.023622047244094488,0.0,0.0,85.5,85.5,0.0,0.0,513.0,2020-09,normal
2020,9,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1024,45,18.17,2.83,12.2,1.0,10.8,15,0,2151,1176,197,360,27,391,28.970000000000002,12.2,3.83,29,12,4,1567,360,224,0.0439453125,0.0146484375,0.0,47.8,54.09043838453572,29.508196721311478,58.485639686684074,4851.0,2020-09,normal
2020,9,Republic Airline,JFK,John F. Kennedy International Airport (JFK),211,5,4.0,0.0,1.0,0.0,0.0,0,0,248,227,0,21,0,0,4.0,1.0,0.0,4,1,0,227,21,0,0.023696682464454975,0.0,0.0,49.6,56.75,21.0,0.0,248.0,2020-09,normal
2020,10,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),55,3,2.0,0.0,0.0,0.0,1.0,0,0,175,144,0,0,0,31,3.0,0.0,0.0,3,0,0,175,0,0,0.05454545454545454,0.0,0.0,58.333333333333336,58.333333333333336,0.0,0.0,175.0,2020-10,normal
2020,10,American Airlines,JFK,John F. Kennedy International Airport (JFK),425,26,11.25,2.0,4.43,1.51,6.8,0,1,1721,686,81,132,73,749,18.05,4.43,3.51,18,4,4,1435,132,154,0.0611764705882353,0.0,0.002352941176470588,66.1923076923077,79.50138504155125,29.79683972911964,43.87464387464388,1961.0,2020-10,normal
2020,10,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),1225,68,33.81,1.76,15.91,0.0,16.52,1,0,7956,5955,239,444,0,1318,50.33,15.91,1.76,50,16,2,7273,444,239,0.05551020408163265,0.0008163265306122449,0.0,117.0,144.50625869262865,27.906976744186046,135.79545454545453,8136.0,2020-10,normal
2020,10,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),375,7,3.96,0.0,0.17,0.0,2.88,0,0,736,492,0,14,0,230,6.84,0.17,0.0,7,0,0,722,14,0,0.018666666666666668,0.0,0.0,105.14285714285714,105.55555555555556,82.35294117647058,0.0,736.0,2020-10,normal
2020,10,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1262,86,43.78,0.18,8.72,0.29,33.03,3,0,5520,3325,3,247,12,1933,76.81,8.72,0.47,77,9,0,5258,247,15,0.06814580031695722,0.002377179080824089,0.0,64.18604651162791,68.4546283036063,28.325688073394492,31.914893617021278,6060.0,2020-10,normal
